市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計
千代田区日比谷公園,7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,0,1,15
千代田区北の丸公園,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,1,12
千代田区九段南１丁目,11,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,5,0,3,1,0,1,23
千代田区九段南２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,0,1,5
千代田区九段南３丁目,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
千代田区九段南４丁目,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8
千代田区九段北１丁目,9,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,1,3,0,0,24
千代田区九段北２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
千代田区九段北３丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
千代田区九段北４丁目,9,0,0,0,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,23
千代田区富士見１丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,6
千代田区富士見２丁目,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,3,5,2,1,1,0,1,11
千代田区飯田橋１丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,4
千代田区飯田橋２丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,1,6
千代田区飯田橋３丁目,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,2,3,3,3,0,0,0,0,17
千代田区飯田橋４丁目,19,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,1,0,2,5,1,3,0,0,1,39
千代田区一ツ橋１丁目,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
千代田区一ツ橋２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
千代田区神田神保町１丁目,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,0,0,2,15,2,1,0,1,0,0,0,23
千代田区神田神保町２丁目,27,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,1,0,0,0,0,5,11,6,2,1,0,2,47
千代田区神田神保町３丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,3,2,0,0,0,1,7
千代田区神田三崎町１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
千代田区神田三崎町２丁目,21,1,0,1,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,2,5,4,1,1,0,0,2,50
千代田区神田三崎町３丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,0,2,7
千代田区西神田２丁目,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
千代田区神田猿楽町２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
千代田区神田駿河台１丁目,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,1,10
千代田区神田駿河台２丁目,25,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,1,0,2,6,7,4,2,2,0,0,0,41
千代田区神田駿河台３丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
千代田区神田駿河台４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
千代田区神田錦町１丁目,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,3,2,1,1,0,0,0,21
千代田区神田錦町２丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
千代田区神田錦町３丁目,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,7,4,0,0,0,3,17
千代田区神田小川町１丁目,16,0,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,1,0,2,4,2,3,0,2,0,0,1,26
千代田区神田小川町２丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,2,1,1,0,0,0,7
千代田区神田小川町３丁目,10,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,1,24
千代田区神田美土代町,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
千代田区内神田１丁目,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,6,1,1,0,0,4,13
千代田区内神田２丁目,14,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,5,4,2,0,0,0,2,20
千代田区内神田３丁目,35,0,0,0,5,0,1,3,0,1,6,0,0,0,6,0,0,0,0,20,0,0,3,1,0,0,0,0,2,6,8,4,1,1,0,0,2,67
千代田区神田司町２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2
千代田区神田多町２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
千代田区神田淡路町１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
千代田区神田淡路町２丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
千代田区神田須田町１丁目,24,0,0,0,1,0,1,0,0,0,5,0,0,4,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,6,4,7,3,2,0,0,2,38
千代田区神田須田町２丁目,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,2,4,3,1,0,1,0,1,17
千代田区外神田１丁目,148,1,1,0,26,0,20,6,0,0,2,1,0,0,1,0,0,0,0,98,0,0,4,1,0,0,2,0,21,26,44,21,6,3,2,0,10,265
