市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計,緯度,経度
文京区大塚３丁目,18,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,1,0,4,4,1,1,0,0,2,26,35.7208877,139.7358241
文京区大塚４丁目,13,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0,3,0,0,1,0,0,0,0,2,4,4,0,0,0,0,23,35.7229859,139.7339083
文京区大塚５丁目,12,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,1,3,1,0,0,0,2,33,35.7223986,139.7281611
文京区大塚６丁目,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,9,2,0,0,0,7,19,35.7256433,139.7262455
文京区関口１丁目,40,0,0,0,6,0,3,3,0,0,3,0,0,0,2,1,0,0,0,26,0,0,11,0,0,1,0,0,0,6,8,5,3,0,0,0,2,70,35.7098188,139.7303961
文京区関口２丁目,11,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,4,1,0,0,0,3,23,35.7118802,139.7262455
文京区関口３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,4,35.713955,139.7278419
文京区目白台１丁目,13,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,1,21,35.7144167,139.7211376
文京区目白台２丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,3,2,0,0,0,1,6,35.7172234,139.7224146
文京区目白台３丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,0,4,10,35.7171022,139.7249685
文京区音羽１丁目,14,1,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,1,6,5,0,0,0,1,35,35.7141507,139.7297575
文京区音羽２丁目,10,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,4,22,35.71927480000001,139.7275226
文京区本郷１丁目,23,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,16,0,0,6,0,0,0,0,0,0,6,4,5,2,0,0,0,3,29,35.7046809,139.7569024
文京区本郷２丁目,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,1,0,0,0,0,0,0,4,2,0,0,1,0,1,16,35.7045583,139.7594578
文京区本郷３丁目,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,2,0,0,0,1,0,2,4,10,4,0,0,0,6,25,35.7049482,139.7632912
文京区本郷４丁目,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,3,1,0,0,0,0,0,0,12,2,1,1,0,0,0,19,35.708758,139.7556247
文京区本郷５丁目,8,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,1,16,35.7109304,139.7581801
文京区本郷６丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,35.7132251,139.7581801
文京区本郷７丁目,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,11,1,0,0,0,0,0,0,3,5,0,1,0,0,4,25,35.7115154,139.7639301
文京区湯島１丁目,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,1,0,0,0,0,0,1,8,3,0,1,0,0,2,15,35.702018,139.764569
文京区湯島２丁目,13,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,7,0,0,4,1,0,0,0,0,0,0,2,4,0,0,0,0,4,17,35.7048255,139.7658469
文京区湯島３丁目,53,1,0,1,11,0,5,5,0,1,1,0,0,0,0,1,0,0,0,24,0,0,9,1,0,0,1,0,0,5,8,16,3,1,1,0,11,108,35.7058502,139.7684028
文京区湯島４丁目,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,2,0,0,0,0,0,0,0,5,1,0,1,0,3,17,35.7094155,139.7658469
文京区西片１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,6,35.7128348,139.754347
文京区西片２丁目,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,35.7156419,139.7556247
文京区向丘１丁目,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,5,3,1,0,0,0,2,22,35.7194987,139.7559441
文京区向丘２丁目,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,12,35.7218907,139.7569024
文京区弥生１丁目,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,0,1,19,35.7176921,139.7607356
文京区弥生２丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35.7157876,139.764569
文京区根津１丁目,13,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,4,3,2,0,0,0,1,21,35.7191932,139.7623328
文京区根津２丁目,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,0,0,1,5,1,0,0,0,4,23,35.7187535,139.7655274
文京区千駄木１丁目,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,14,35.7240631,139.7594578
文京区千駄木２丁目,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,14,0,1,3,0,0,0,0,0,0,0,10,8,4,0,0,0,4,31,35.7227937,139.7620134
文京区千駄木３丁目,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,0,0,7,1,0,1,0,0,0,3,8,5,2,0,0,0,3,28,35.7273826,139.7620134
文京区千駄木４丁目,9,0,0,0,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,23,35.7307875,139.7597773
文京区千駄木５丁目,9,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,4,3,0,0,0,1,17,35.7269921,139.7581801
文京区本駒込１丁目,11,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,5,3,1,0,0,1,19,35.7255761,139.7517918
文京区本駒込２丁目,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,7,0,1,0,0,0,0,1,7,5,1,0,0,0,4,21,35.7283091,139.7485979
文京区本駒込３丁目,14,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,1,26,35.7288956,139.754347
文京区本駒込４丁目,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,11,35.7317024,139.7556247
文京区本駒込５丁目,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,3,0,0,0,0,1,0,0,5,1,0,1,0,0,0,11,35.7324584,139.7517918
文京区本駒込６丁目,10,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,2,0,1,1,0,0,0,0,18,35.7318717,139.7460429
台東区台東１丁目,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0,1,0,0,0,0,3,5,1,1,2,0,1,17,35.7014031,139.777349
台東区台東２丁目,21,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,15,1,0,11,1,0,0,0,0,0,0,2,4,1,2,0,0,1,27,35.703222,139.7783077
台東区台東３丁目,22,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,14,0,0,9,0,0,0,0,0,0,1,4,6,3,0,0,0,3,26,35.7046258,139.7789467
台東区台東４丁目,32,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,24,0,0,13,0,0,0,0,0,0,1,10,6,3,0,0,0,3,36,35.7063473,139.7789467
台東区柳橋１丁目,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,4,0,0,1,0,0,0,5,0,6,2,1,0,0,3,22,35.6963185,139.787575
台東区柳橋２丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,1,3,2,0,0,0,1,15,35.6983935,139.789173
台東区浅草橋１丁目,29,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,1,2,1,7,10,2,1,0,0,7,37,35.6975899,139.7850184
台東区浅草橋２丁目,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,35.6997266,139.7853379
台東区浅草橋３丁目,16,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,1,0,0,0,0,0,1,2,3,1,0,0,0,2,28,35.7008127,139.7866163
台東区浅草橋４丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2,6,35.69819,139.7815031
台東区浅草橋５丁目,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,1,3,1,0,1,0,1,22,35.7011566,139.7824618
台東区鳥越１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35.7027194,139.7827814
台東区鳥越２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,5,35.7022783,139.7859771
台東区蔵前１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,1,6,35.7001506,139.7914102
台東区蔵前２丁目,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,1,0,0,0,1,2,5,1,2,0,0,2,19,35.7029584,139.7926887
台東区蔵前３丁目,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,8,1,0,0,0,0,0,3,5,7,3,0,0,0,4,29,35.7047419,139.7914102
台東区蔵前４丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,5,3,0,0,0,2,10,35.7037176,139.7888534
台東区小島１丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,1,5,35.704441,139.7827814
台東区小島２丁目,15,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,9,0,0,5,0,0,0,0,0,1,0,3,3,1,0,0,0,2,25,35.70584480000001,139.7834205
台東区三筋１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,3,6,35.7039999,139.7859771
台東区三筋２丁目,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,2,0,0,0,0,0,4,3,1,1,0,0,1,13,35.7054038,139.7866163
台東区秋葉原,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,1,0,6,35.6996473,139.7713703
台東区上野１丁目,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,10,0,0,0,0,1,0,3,3,1,0,0,0,0,1,23,35.7061424,139.7712782
台東区上野２丁目,83,3,1,2,21,0,15,6,0,0,2,0,0,0,1,1,0,0,0,39,0,0,8,0,0,0,3,0,2,8,18,18,5,0,0,3,10,198,35.7092675,139.7719172
台東区上野３丁目,130,0,0,0,2,0,1,0,0,1,3,0,0,0,2,0,0,0,1,113,0,0,26,1,0,0,1,0,1,67,17,12,2,4,0,0,6,144,35.7067521,139.7735148
台東区上野４丁目,154,2,1,1,17,0,8,8,1,0,2,1,0,0,1,0,0,0,0,105,0,1,15,1,0,0,1,0,3,49,35,28,12,3,2,0,11,244,35.7094622,139.7738343
台東区上野５丁目,66,0,0,0,4,0,0,4,0,0,2,0,0,0,2,0,0,0,0,51,0,0,17,0,0,0,1,0,2,6,25,9,2,1,0,0,6,86,35.7038216,139.7747928
台東区上野６丁目,175,1,0,1,25,0,17,7,1,0,3,0,0,0,2,0,0,0,1,115,0,0,11,1,0,0,3,0,4,42,54,31,8,6,1,0,16,290,35.709657,139.7757514
台東区上野７丁目,171,1,0,1,30,0,21,7,2,0,1,0,0,0,0,1,0,0,0,101,0,0,20,3,0,0,4,1,3,28,42,38,3,8,1,0,26,302,35.7145393,139.7786272
台東区東上野１丁目,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,8,4,1,0,1,0,2,19,35.7080687,139.7789467
台東区東上野２丁目,21,0,0,0,3,0,1,2,0,0,2,0,0,0,2,0,0,0,0,13,0,0,5,0,0,0,0,0,0,1,7,3,2,0,0,0,1,37,35.7094725,139.7795858
台東区東上野３丁目,33,1,0,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,11,1,0,0,2,0,1,0,8,5,1,0,0,0,4,58,35.7108763,139.7802249
台東区東上野４丁目,20,0,0,0,2,0,1,0,1,0,2,0,0,0,0,1,0,0,1,9,0,1,2,0,0,0,0,0,0,3,3,7,1,0,1,0,5,32,35.7137452,139.7802249
台東区東上野５丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,1,2,3,1,1,0,0,1,10,35.7133661,139.7821423
台東区東上野６丁目,16,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,1,0,0,1,2,3,0,1,0,0,2,28,35.7131457,139.7837401
台東区元浅草１丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,5,2,0,0,0,3,10,35.7081402,139.7834205
台東区元浅草２丁目,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,35.7101178,139.7840596
台東区元浅草３丁目,11,0,0,0,3,0,1,0,2,0,1,0,0,1,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,25,35.7076992,139.7866163
台東区元浅草４丁目,14,1,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,1,0,2,1,0,0,0,1,43,35.7099946,139.7866163
台東区寿１丁目,9,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,15,35.7072581,139.7898122
台東区寿２丁目,16,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,13,0,1,6,0,0,0,0,0,0,2,4,1,1,0,0,0,0,22,35.7089797,139.7898122
台東区寿３丁目,11,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,1,0,0,0,0,1,1,1,1,0,0,0,0,19,35.7071347,139.7923691
台東区寿４丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,1,5,35.7085386,139.7930083
台東区駒形１丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,1,1,4,1,0,0,0,3,9,35.707329,139.7942868
台東区駒形２丁目,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,35.7062784,139.7952457
台東区北上野１丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,1,0,0,4,8,35.71763869999999,139.7827814
台東区北上野２丁目,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,9,0,0,0,0,0,0,0,1,3,1,1,0,0,1,16,35.7165885,139.7837401
台東区下谷１丁目,17,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,2,7,4,2,0,0,1,30,35.7191039,139.7821423
台東区下谷２丁目,19,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,1,9,4,1,0,0,4,27,35.7211787,139.7837401
台東区下谷３丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,4,1,1,0,0,2,15,35.7249133,139.7866163
台東区根岸１丁目,64,1,0,1,9,0,7,2,0,0,3,0,0,0,2,1,0,0,0,36,0,0,15,0,0,0,2,0,2,0,17,15,3,3,0,0,9,115,35.7218392,139.7789467
台東区根岸２丁目,20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,16,0,1,12,1,0,0,0,0,0,0,2,2,1,1,0,0,0,26,35.7248303,139.7763905
台東区根岸３丁目,31,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,24,0,0,13,2,0,1,0,1,0,0,7,4,2,0,0,0,2,43,35.7235964,139.7811836
台東区根岸４丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,6,35.72576859999999,139.7837401
台東区根岸５丁目,24,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,2,0,1,0,0,1,3,1,5,2,0,0,0,3,45,35.7267933,139.7862967
台東区入谷１丁目,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,10,0,0,0,0,0,0,4,5,6,3,1,1,0,1,31,35.7210558,139.7862967
台東区入谷２丁目,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,4,1,0,0,0,1,0,0,2,2,1,0,0,0,1,16,35.7205178,139.7885338
台東区竜泉１丁目,12,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,6,0,1,3,0,0,0,0,0,0,0,2,3,1,0,0,0,2,22,35.7237402,139.7901318
台東区竜泉２丁目,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,12,35.72603520000001,139.7901318
台東区竜泉３丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,1,0,0,1,4,0,0,0,0,4,14,35.7259123,139.7926887
台東区松が谷１丁目,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,2,0,2,0,0,0,13,35.7117161,139.7866163
台東区松が谷２丁目,12,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,3,3,2,0,0,0,1,24,35.7135349,139.787575
台東区松が谷３丁目,11,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,23,35.7158302,139.787575
台東区松が谷４丁目,7,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,35.7177104,139.7872554
台東区西浅草１丁目,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,5,0,1,0,0,0,0,0,3,2,0,0,0,0,2,14,35.7112752,139.7898122
台東区西浅草２丁目,22,0,0,0,3,0,1,2,0,0,1,0,0,0,1,0,0,0,0,11,0,0,8,0,0,0,0,0,0,1,2,7,5,0,0,0,2,36,35.7127762,139.7914102
台東区西浅草３丁目,33,1,0,1,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,0,0,0,0,1,1,2,2,8,2,1,0,0,5,62,35.7162192,139.7914102
台東区雷門１丁目,15,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,0,0,1,0,5,3,1,0,0,0,2,25,35.7102602,139.7930083
台東区雷門２丁目,27,1,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,1,0,2,3,6,6,1,1,0,0,4,48,35.7098189,139.7962046
台東区浅草１丁目,104,0,0,0,15,0,12,3,0,0,2,0,0,0,2,0,0,0,0,73,0,2,24,1,0,0,3,0,6,14,23,14,2,5,0,0,7,168,35.7121762,139.794926
台東区浅草２丁目,80,0,0,0,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,23,3,0,0,4,0,7,7,10,17,2,6,1,0,8,116,35.7143128,139.7952457
台東区浅草３丁目,25,0,0,0,2,0,1,0,1,0,2,0,0,0,1,0,1,0,0,15,0,1,10,1,0,0,0,0,0,0,3,6,0,2,0,0,4,37,35.7172792,139.7962046
台東区浅草４丁目,42,0,0,0,4,0,1,2,0,1,2,0,0,0,2,0,0,0,0,24,0,1,17,1,0,0,0,0,0,2,3,12,4,1,1,0,6,62,35.71874469999999,139.7955653
台東区浅草５丁目,42,0,0,0,6,0,3,0,2,1,1,0,0,0,0,0,0,0,1,25,0,1,13,2,0,0,0,0,1,1,7,10,1,2,0,0,7,68,35.7210756,139.7978028
台東区浅草６丁目,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,15,0,0,8,1,0,0,0,0,0,1,5,1,1,0,0,0,0,28,35.7175091,139.80036
台東区浅草７丁目,8,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,18,35.7162379,139.8029173
台東区花川戸１丁目,38,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,15,0,0,0,0,0,1,14,1,6,1,0,0,0,5,42,35.712406,139.7990814
台東区花川戸２丁目,16,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,2,4,0,1,0,0,3,28,35.7144808,139.8006796
台東区千束１丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,1,3,2,0,0,0,1,15,35.7186734,139.7910906
台東区千束２丁目,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,12,35.7214451,139.7901318
台東区千束３丁目,47,2,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,8,2,0,0,0,0,0,25,0,7,2,1,0,0,4,77,35.7224696,139.7926887
台東区千束４丁目,39,0,0,0,9,0,5,2,1,1,2,1,0,0,1,0,0,0,0,22,0,0,11,1,0,0,0,0,0,6,4,6,1,1,0,0,4,79,35.7234941,139.7952457
台東区今戸１丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,2,0,0,0,0,0,0,2,2,1,1,0,0,0,14,35.7190455,139.804196
台東区今戸２丁目,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,2,2,2,0,0,0,0,21,35.7219766,139.8029173
台東区東浅草１丁目,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,3,17,35.7213672,139.8006796
台東区東浅草２丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,1,3,0,0,0,0,3,7,35.7243953,139.80036
台東区橋場１丁目,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,2,0,7,2,1,0,0,4,20,35.7246607,139.8067535
台東区橋場２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,5,35.7269561,139.8067535
台東区清川１丁目,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,1,0,0,0,0,0,0,1,4,2,1,0,0,1,20,35.7242719,139.8029173
台東区清川２丁目,33,0,0,0,7,0,1,4,2,0,0,0,0,0,0,0,0,0,0,14,0,0,6,4,1,0,0,0,0,1,2,12,1,2,1,0,8,61,35.7277149,139.8029173
台東区日本堤１丁目,20,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10,0,0,5,0,0,1,0,0,0,1,3,8,1,2,0,0,5,26,35.7261783,139.7990814
台東区日本堤２丁目,26,0,0,0,6,0,3,1,2,0,1,0,0,0,0,1,0,0,0,15,0,0,4,1,0,0,0,0,0,8,2,4,0,1,0,0,3,52,35.727449,139.7965242
台東区三ノ輪１丁目,15,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,7,2,0,0,0,0,0,0,1,3,0,2,0,0,1,23,35.7283661,139.7923691
台東区三ノ輪２丁目,10,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35.7294522,139.7936475
台東区池之端１丁目,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,1,7,6,1,0,0,0,16,35.7097691,139.7674443
