区,総合,買い物,グルメ,自然,子育て・教育,電車・バスの便利さ,車の便利さ
千代田区,3.42,3.24,3.83,3.77,3.50,3.92,2.83
中央区,3.75,3.69,4.24,2.52,3.57,4.05,3.10
港区,3.98,3.60,4.34,3.36,3.93,4.41,3.33
新宿区,4.05,4.45,4.47,3.92,3.82,4.47,3.14
文京区,4.01,3.31,3.65,3.62,4.63,4.22,2.97
台東区,3.51,3.67,3.74,-,3.36,4.00,2.95
